country,rank,2026-08-29 17:24,2026-08-29 22:45,2026-08-30 02:35,2026-08-30 05:34,2026-08-30 08:04,2026-08-30 10:17,2026-08-30 17:00,2026-08-30 22:46,2026-08-31 03:01,2026-08-31 05:52,2026-08-31 08:18,2026-08-31 13:06,2026-08-31 20:27,2026-09-01 03:55,2026-09-01 08:11,2026-09-01 12:56,2026-09-01 18:17,2026-09-01 23:37
벨기에,37.0,37.0,,37.0,37.0,37.0,37.0,26.0,26.0,26.0,26.0,26.0,23.0,22.0,22.0,22.0,19.0,19.0,19.0
콜롬비아,37.0,37.0,,37.0,37.0,37.0,37.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,21.0,19.0,19.0
스위스,39.0,39.0,,39.0,39.0,39.0,38.0,36.0,36.0,36.0,36.0,36.0,32.0,30.0,30.0,30.0,26.0,27.0,27.0
크로아티아,40.0,40.0,,40.0,40.0,40.0,39.0,31.0,31.0,31.0,31.0,31.0,29.0,25.0,25.0,25.0,24.0,24.0,24.0
아일랜드,40.0,40.0,,40.0,40.0,40.0,39.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,29.0,29.0,29.0
영국,40.0,40.0,,40.0,40.0,40.0,40.0,31.0,31.0,31.0,31.0,31.0,29.0,28.0,28.0,28.0,28.0,23.0,23.0
코스타리카,41.0,41.0,,41.0,41.0,41.0,41.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,20.0,19.0,19.0
오스트리아,42.0,42.0,,42.0,42.0,42.0,41.0,26.0,26.0,26.0,26.0,26.0,25.0,22.0,22.0,22.0,21.0,19.0,19.0
싱가포르,42.0,42.0,,42.0,42.0,42.0,41.0,29.0,29.0,29.0,29.0,29.0,22.0,16.0,16.0,16.0,16.0,13.0,13.0
캐나다,42.0,42.0,,42.0,42.0,42.0,42.0,29.0,29.0,29.0,29.0,29.0,27.0,23.0,23.0,23.0,24.0,21.0,21.0
노르웨이,44.0,44.0,,44.0,44.0,44.0,42.0,32.0,32.0,32.0,32.0,32.0,22.0,23.0,23.0,23.0,21.0,22.0,22.0
핀란드,44.0,44.0,,44.0,44.0,44.0,43.0,28.0,28.0,28.0,28.0,28.0,24.0,22.0,22.0,22.0,22.0,23.0,23.0
호주,45.0,45.0,,45.0,45.0,45.0,45.0,39.0,39.0,39.0,39.0,39.0,35.0,32.0,32.0,32.0,31.0,30.0,30.0
과테말라,46.0,46.0,,46.0,46.0,46.0,43.0,39.0,39.0,39.0,39.0,39.0,34.0,38.0,38.0,38.0,39.0,43.0,43.0
대만,46.0,46.0,,46.0,46.0,46.0,45.0,32.0,32.0,32.0,32.0,32.0,28.0,20.0,20.0,20.0,21.0,18.0,18.0
일본,47.0,47.0,,47.0,47.0,47.0,45.0,36.0,36.0,36.0,36.0,36.0,35.0,28.0,28.0,28.0,29.0,26.0,26.0
키프로스,50.0,50.0,,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0,35.0,33.0,33.0,33.0,27.0,29.0,29.0
룩셈부르크,52.0,52.0,,52.0,52.0,52.0,52.0,61.0,61.0,61.0,61.0,61.0,61.0,54.0,54.0,54.0,55.0,57.0,57.0
미국,52.0,52.0,,52.0,52.0,52.0,53.0,42.0,42.0,42.0,42.0,42.0,37.0,36.0,36.0,36.0,34.0,34.0,34.0
카타르,55.0,55.0,,55.0,55.0,55.0,53.0,43.0,43.0,43.0,43.0,43.0,41.0,41.0,41.0,41.0,39.0,37.0,37.0
체코,57.0,57.0,,57.0,57.0,57.0,57.0,43.0,43.0,43.0,43.0,43.0,38.0,35.0,35.0,35.0,35.0,34.0,34.0
멕시코,60.0,60.0,,60.0,60.0,60.0,58.0,63.0,63.0,63.0,63.0,63.0,57.0,55.0,55.0,55.0,57.0,58.0,58.0
불가리아,60.0,60.0,,60.0,60.0,60.0,58.0,52.0,52.0,52.0,52.0,52.0,43.0,43.0,43.0,43.0,39.0,37.0,37.0
슬로바키아,61.0,61.0,,61.0,61.0,61.0,54.0,46.0,46.0,46.0,46.0,46.0,36.0,33.0,33.0,33.0,28.0,26.0,26.0
뉴질랜드,61.0,61.0,,61.0,61.0,61.0,59.0,38.0,38.0,38.0,38.0,38.0,35.0,35.0,35.0,35.0,33.0,28.0,28.0
에콰도르,63.0,63.0,,63.0,63.0,63.0,62.0,59.0,59.0,59.0,59.0,59.0,52.0,49.0,49.0,49.0,50.0,48.0,48.0
파나마,65.0,65.0,,65.0,65.0,65.0,66.0,58.0,58.0,58.0,58.0,58.0,53.0,48.0,48.0,48.0,49.0,48.0,48.0
페루,68.0,68.0,,68.0,68.0,68.0,67.0,58.0,58.0,58.0,58.0,58.0,52.0,47.0,47.0,47.0,49.0,43.0,43.0
니카라과,83.0,83.0,,83.0,83.0,83.0,84.0,140.0,140.0,140.0,140.0,140.0,133.0,59.0,59.0,59.0,60.0,66.0,66.0
파라과이,87.0,87.0,,87.0,87.0,87.0,88.0,36.0,36.0,36.0,36.0,36.0,29.0,27.0,27.0,27.0,28.0,28.0,28.0
아이슬란드,91.0,91.0,,91.0,91.0,91.0,91.0,68.0,68.0,68.0,68.0,68.0,83.0,76.0,76.0,76.0,61.0,63.0,63.0
온두라스,135.0,135.0,,135.0,135.0,135.0,136.0,98.0,98.0,98.0,98.0,98.0,106.0,102.0,102.0,102.0,99.0,96.0,96.0
우루과이,149.0,149.0,,149.0,149.0,149.0,147.0,96.0,96.0,96.0,96.0,96.0,85.0,46.0,46.0,46.0,44.0,48.0,48.0
볼리비아,153.0,153.0,,153.0,153.0,153.0,152.0,156.0,156.0,156.0,156.0,156.0,163.0,160.0,160.0,160.0,156.0,102.0,102.0
몰타,,,,,,,,180.0,180.0,180.0,180.0,180.0,168.0,109.0,109.0,109.0,107.0,123.0,123.0
중국,,,,,,,,,,,,,,,,,,,
베트남,,,,,,,,,,,,,,,,,,,
필리핀,,,,,,,,,,,,,,,,,,,
슬로베니아,,,,,,,,,,,,,,,,,,,
한국,4.0,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
브라질,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
오만,15.0,15.0,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,12.0,12.0,12.0,13.0,10.0,10.0
인도,15.0,15.0,,15.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,11.0,7.0,7.0,7.0,8.0,7.0,7.0
말레이시아,16.0,16.0,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10.0,11.0,11.0,11.0,9.0,10.0,10.0
사우디아라비아,18.0,18.0,,18.0,18.0,18.0,18.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,12.0,12.0
터키,19.0,19.0,,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,16.0,14.0,14.0,14.0,14.0,11.0,11.0
스페인,21.0,21.0,,21.0,21.0,21.0,21.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0
인도네시아,21.0,21.0,,21.0,21.0,21.0,22.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0
홍콩,21.0,21.0,,21.0,21.0,21.0,20.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,12.0,9.0,9.0
독일,22.0,22.0,,22.0,22.0,22.0,22.0,19.0,19.0,19.0,19.0,19.0,17.0,15.0,15.0,15.0,15.0,16.0,16.0
이탈리아,23.0,23.0,,23.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,19.0,18.0,18.0,18.0,18.0,17.0,17.0
스웨덴,24.0,24.0,,24.0,24.0,24.0,24.0,21.0,21.0,21.0,21.0,21.0,19.0,18.0,18.0,18.0,19.0,19.0,19.0
루마니아,24.0,24.0,,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,17.0,16.0,16.0,16.0,17.0,16.0,16.0
우크라이나,25.0,25.0,,25.0,25.0,25.0,25.0,22.0,22.0,22.0,22.0,22.0,19.0,18.0,18.0,18.0,16.0,15.0,15.0
폴란드,26.0,26.0,,26.0,26.0,26.0,26.0,24.0,24.0,24.0,24.0,24.0,22.0,21.0,21.0,21.0,21.0,21.0,21.0
프랑스,26.0,26.0,,26.0,26.0,26.0,26.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,21.0,21.0,21.0,18.0,18.0
포르투갈,27.0,27.0,,27.0,27.0,27.0,27.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,18.0,17.0,17.0
엘살바도르,28.0,28.0,,28.0,28.0,28.0,37.0,39.0,39.0,39.0,39.0,39.0,47.0,41.0,41.0,41.0,42.0,42.0,42.0
쿠웨이트,28.0,28.0,,28.0,28.0,28.0,27.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0
바레인,28.0,28.0,,28.0,28.0,28.0,27.0,23.0,23.0,23.0,23.0,23.0,24.0,22.0,22.0,22.0,21.0,21.0,21.0
태국,29.0,29.0,,29.0,29.0,29.0,28.0,23.0,23.0,23.0,23.0,23.0,19.0,16.0,16.0,16.0,17.0,14.0,14.0
레바논,31.0,31.0,,31.0,31.0,31.0,31.0,39.0,39.0,39.0,39.0,39.0,32.0,100.0,100.0,100.0,103.0,70.0,70.0
남아공,32.0,32.0,,32.0,32.0,32.0,31.0,28.0,28.0,28.0,28.0,28.0,24.0,21.0,21.0,21.0,20.0,21.0,21.0
아랍에미리트,32.0,32.0,,32.0,32.0,32.0,32.0,26.0,26.0,26.0,26.0,26.0,26.0,20.0,20.0,20.0,21.0,19.0,19.0
네덜란드,32.0,32.0,,32.0,32.0,32.0,29.0,27.0,27.0,27.0,27.0,27.0,24.0,23.0,23.0,23.0,18.0,18.0,18.0
헝가리,32.0,32.0,,32.0,32.0,32.0,31.0,26.0,26.0,26.0,26.0,26.0,22.0,21.0,21.0,21.0,22.0,21.0,21.0
아르헨티나,33.0,33.0,,33.0,33.0,33.0,25.0,23.0,23.0,23.0,23.0,23.0,22.0,19.0,19.0,19.0,21.0,22.0,22.0
그리스,35.0,35.0,,35.0,35.0,35.0,35.0,28.0,28.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,26.0,26.0
칠레,35.0,35.0,,35.0,35.0,35.0,34.0,22.0,22.0,22.0,22.0,22.0,18.0,17.0,17.0,17.0,14.0,16.0,16.0
이스라엘,36.0,36.0,,36.0,36.0,36.0,35.0,25.0,25.0,25.0,25.0,25.0,28.0,26.0,26.0,26.0,26.0,27.0,27.0
덴마크,36.0,36.0,,36.0,36.0,36.0,36.0,26.0,26.0,26.0,26.0,26.0,25.0,23.0,23.0,23.0,24.0,18.0,18.0
벨기에,37.0,37.0,,37.0,37.0,37.0,37.0,26.0,26.0,26.0,26.0,26.0,23.0,22.0,22.0,22.0,19.0,19.0,19.0
콜롬비아,37.0,37.0,,37.0,37.0,37.0,37.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,21.0,19.0,19.0
스위스,39.0,39.0,,39.0,39.0,39.0,38.0,36.0,36.0,36.0,36.0,36.0,32.0,30.0,30.0,30.0,26.0,27.0,27.0
크로아티아,40.0,40.0,,40.0,40.0,40.0,39.0,31.0,31.0,31.0,31.0,31.0,29.0,25.0,25.0,25.0,24.0,24.0,24.0
아일랜드,40.0,40.0,,40.0,40.0,40.0,39.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,29.0,29.0,29.0
영국,40.0,40.0,,40.0,40.0,40.0,40.0,31.0,31.0,31.0,31.0,31.0,29.0,28.0,28.0,28.0,28.0,23.0,23.0
코스타리카,41.0,41.0,,41.0,41.0,41.0,41.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,20.0,19.0,19.0
오스트리아,42.0,42.0,,42.0,42.0,42.0,41.0,26.0,26.0,26.0,26.0,26.0,25.0,22.0,22.0,22.0,21.0,19.0,19.0
싱가포르,42.0,42.0,,42.0,42.0,42.0,41.0,29.0,29.0,29.0,29.0,29.0,22.0,16.0,16.0,16.0,16.0,13.0,13.0
캐나다,42.0,42.0,,42.0,42.0,42.0,42.0,29.0,29.0,29.0,29.0,29.0,27.0,23.0,23.0,23.0,24.0,21.0,21.0
노르웨이,44.0,44.0,,44.0,44.0,44.0,42.0,32.0,32.0,32.0,32.0,32.0,22.0,23.0,23.0,23.0,21.0,22.0,22.0
핀란드,44.0,44.0,,44.0,44.0,44.0,43.0,28.0,28.0,28.0,28.0,28.0,24.0,22.0,22.0,22.0,22.0,23.0,23.0
호주,45.0,45.0,,45.0,45.0,45.0,45.0,39.0,39.0,39.0,39.0,39.0,35.0,32.0,32.0,32.0,31.0,30.0,30.0
과테말라,46.0,46.0,,46.0,46.0,46.0,43.0,39.0,39.0,39.0,39.0,39.0,34.0,38.0,38.0,38.0,39.0,43.0,43.0
대만,46.0,46.0,,46.0,46.0,46.0,45.0,32.0,32.0,32.0,32.0,32.0,28.0,20.0,20.0,20.0,21.0,18.0,18.0
일본,47.0,47.0,,47.0,47.0,47.0,45.0,36.0,36.0,36.0,36.0,36.0,35.0,28.0,28.0,28.0,29.0,26.0,26.0
키프로스,50.0,50.0,,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,40.0,35.0,33.0,33.0,33.0,27.0,29.0,29.0
룩셈부르크,52.0,52.0,,52.0,52.0,52.0,52.0,61.0,61.0,61.0,61.0,61.0,61.0,54.0,54.0,54.0,55.0,57.0,57.0
미국,52.0,52.0,,52.0,52.0,52.0,53.0,42.0,42.0,42.0,42.0,42.0,37.0,36.0,36.0,36.0,34.0,34.0,34.0
카타르,55.0,55.0,,55.0,55.0,55.0,53.0,43.0,43.0,43.0,43.0,43.0,41.0,41.0,41.0,41.0,39.0,37.0,37.0
체코,57.0,57.0,,57.0,57.0,57.0,57.0,43.0,43.0,43.0,43.0,43.0,38.0,35.0,35.0,35.0,35.0,34.0,34.0
멕시코,60.0,60.0,,60.0,60.0,60.0,58.0,63.0,63.0,63.0,63.0,63.0,57.0,55.0,55.0,55.0,57.0,58.0,58.0
불가리아,60.0,60.0,,60.0,60.0,60.0,58.0,52.0,52.0,52.0,52.0,52.0,43.0,43.0,43.0,43.0,39.0,37.0,37.0
슬로바키아,61.0,61.0,,61.0,61.0,61.0,54.0,46.0,46.0,46.0,46.0,46.0,36.0,33.0,33.0,33.0,28.0,26.0,26.0
뉴질랜드,61.0,61.0,,61.0,61.0,61.0,59.0,38.0,38.0,38.0,38.0,38.0,35.0,35.0,35.0,35.0,33.0,28.0,28.0
에콰도르,63.0,63.0,,63.0,63.0,63.0,62.0,59.0,59.0,59.0,59.0,59.0,52.0,49.0,49.0,49.0,50.0,48.0,48.0
파나마,65.0,65.0,,65.0,65.0,65.0,66.0,58.0,58.0,58.0,58.0,58.0,53.0,48.0,48.0,48.0,49.0,48.0,48.0
페루,68.0,68.0,,68.0,68.0,68.0,67.0,58.0,58.0,58.0,58.0,58.0,52.0,47.0,47.0,47.0,49.0,43.0,43.0
니카라과,83.0,83.0,,83.0,83.0,83.0,84.0,140.0,140.0,140.0,140.0,140.0,133.0,59.0,59.0,59.0,60.0,66.0,66.0
파라과이,87.0,87.0,,87.0,87.0,87.0,88.0,36.0,36.0,36.0,36.0,36.0,29.0,27.0,27.0,27.0,28.0,28.0,28.0
아이슬란드,91.0,91.0,,91.0,91.0,91.0,91.0,68.0,68.0,68.0,68.0,68.0,83.0,76.0,76.0,76.0,61.0,63.0,63.0
온두라스,135.0,135.0,,135.0,135.0,135.0,136.0,98.0,98.0,98.0,98.0,98.0,106.0,102.0,102.0,102.0,99.0,96.0,96.0
우루과이,149.0,149.0,,149.0,149.0,149.0,147.0,96.0,96.0,96.0,96.0,96.0,85.0,46.0,46.0,46.0,44.0,48.0,48.0
볼리비아,153.0,153.0,,153.0,153.0,153.0,152.0,156.0,156.0,156.0,156.0,156.0,163.0,160.0,160.0,160.0,156.0,102.0,102.0
몰타,,,,,,,,180.0,180.0,180.0,180.0,180.0,168.0,109.0,109.0,109.0,107.0,123.0,123.0
필리핀,,,,,,,,,,,,,,,,,,,
베트남,,,,,,,,,,,,,,,,,,,
슬로베니아,,,,,,,,,,,,,,,,,,,
중국,,,,,,,,,,,,,,,,,,,
